Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.2,206.5
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.6,227.7
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,95.2,209.4
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.6,208.7
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,95.2,208.6
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.8,206.2
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,48,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.4,204.9
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,56,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,95.2,208.2
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,60,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,Yes,22106.1,92.2,207.0
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,No,22106.1,95.3,208.9
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,62,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,No,22106.1,92.1,206.7
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,61,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,No,22106.1,95.1,208.5
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,Yes,22106.1,92.4,204.0
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,Yes,22106.1,92.5,228.1
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,Yes,22106.1,92.6,207.9
gemma-3-1b-it_tensorrt_llm_bls,GPU-daf97dbd-b56b-dab3-0b2c-c0bf8a309c92,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,Yes,22106.1,95.1,207.8
