Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms),Output Token Throughput (infer/sec)
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,8.0,1004.0,10292.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,4.4,916.3,5678.5
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,8.0,2980.8,10370.5
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,2.2,890.3,2892.0
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,8.0,6896.6,10390.5
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,1.1,999.5,1458.1
gemma-3-1b-it_tensorrt_llm_bls,1,48,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,7.7,9237.3,10154.2
gemma-3-1b-it_tensorrt_llm_bls,1,56,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,8.0,9869.0,10363.7
gemma-3-1b-it_tensorrt_llm_bls,1,60,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,Yes,8.0,9872.0,10366.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,No,8.0,10830.6,10389.9
gemma-3-1b-it_tensorrt_llm_bls,1,62,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,No,8.0,10858.4,10363.8
gemma-3-1b-it_tensorrt_llm_bls,1,61,gemma-3-1b-it_tensorrt_llm_bls_config_82,29:GPU,2,No,8.0,10872.1,10348.8
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,8.0,1004.5,10274.8
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,4.4,915.5,5678.2
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,2.2,891.0,2892.4
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,8.0,3931.2,10381.0
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,1.1,989.2,1457.1
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,8.0,7872.3,10402.4
gemma-3-1b-it_tensorrt_llm_bls,1,48,gemma-3-1b-it_tensorrt_llm_bls_config_79,28:GPU,2,Yes,7.7,9226.8,10172.4
